id;OEM;Артикул;Бренд;Группа;Деталь;Номенклатура;З/Н;Комментарий;Цена;Новинка;Уникльный ключ;Категория по бренду;Ранг по бренду;Категория по деталям;Ранг по деталям;Ранг;abc/xyz;Дата;Компания
525071;AMD.FC944A;04596501AB;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 04596501AB/AMD.FC944A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);CHRYSLER (300 C LX) (2004-2010);344,00;;525071AMD.FC944A;;0;;0;4547;CZ;01.08.2023;Москворечье
525080;AMD.FC957A;05058693AA;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 05058693AA/AMD.FC957A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);JEEP (Patriot/Liberty MK74) (2007-2017);254,00;;525080AMD.FC957A;;0;;0;4547;CZ;01.08.2023;Москворечье
519500;AMD.FC11A;0K2N16152X;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 0K2N-161-52X/AMD.FC11A (антибактериальный, угольный) (2шт) AMD;AMD / FCR 2018 (Склад);KIA (Spectra ИЖ) (Shuma FB);463,00;;519500AMD.FC11A;;0;;0;4547;CZ;01.08.2023;Москворечье
525275;AMD.FC56A;0K55361C14A;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 0K553-61-C14A/AMD.FC56A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);KIA (Carnival UP, GQ);308,00;;525275AMD.FC56A;;0;;0;4547;CZ;01.08.2023;Москворечье
525632;AMD.FC981A;1017016545;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1017016545/AMD.FC981A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);GEELY (Emgrand X7) (2018-) (CA);220,00;;525632AMD.FC981A;;0;;0;4547;CZ;01.08.2023;Москворечье
521482;AMD.FC898A;1018002773;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1018002773/AMD.FC898A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);GEELY (MK) (2005-2014) (CA);252,00;Новинка;521482AMD.FC898A;;0;;0;4547;CZ;01.08.2023;Москворечье
519482;AMD.FC731A;1062253;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1062253/AMD.FC731A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Focus I) (1999-2004) (Tourneo Connect) (2002-);427,00;;519482AMD.FC731A;CZ;1316;CZ;63;1316;CZ;01.08.2023;Москворечье
519504;AMD.FC785A;11180812201083;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 11180-8122010-83/AMD.FC785A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);LADA (Granta) (Kalina) CHEVROLET (Niva);455,00;;519504AMD.FC785A;;0;;0;4547;CZ;01.08.2023;Москворечье
524963;AMD.FC953A;1119616;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1119616/AMD.FC953A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Mondeo III B4Y) (2000-2007);330,00;;524963AMD.FC953A;;0;;0;4547;CZ;01.08.2023;Москворечье
519483;AMD.FC727A;1315686;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 1315686/AMD.FC727A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);FORD (Mondeo IV) (2007-) (Galaxy II) (2006-) (S-Max WS) (2006-) (Galaxy II WM) (2006-) (Kuga DR) (-2;540,00;;519483AMD.FC727A;CZ;1188;BY;50;1188;BY;01.08.2023;Москворечье
